SHIPMENT_STATUS
SHIPMENT_GID,STATUS_TYPE_GID,STATUS_VALUE_GID,DOMAIN_NAME
OTM/A032.3208698448,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208725478,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208725471,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726011,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208725880,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208725791,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208725531,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726022,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726181,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726017,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726020,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208722519,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208722868,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208722521,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208724496,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208724243,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208724878,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208724883,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208725109,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208725434,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208725436,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719031,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719019,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719018,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719015,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719014,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719003,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718991,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718978,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718960,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718966,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718963,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718954,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718942,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208747777,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718938,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208747734,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718929,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208747786,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718922,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208747779,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718919,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718908,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208747791,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718869,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718867,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726649,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726643,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726823,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726747,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726587,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726641,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726615,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726934,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726965,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208726983,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718859,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718864,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720026,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720028,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208747651,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208747666,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208746912,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208747649,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208746844,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208747731,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208747730,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208747677,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208747671,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208747670,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720032,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720031,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720030,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720029,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720040,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720039,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720035,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720034,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719958,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208740860,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208740861,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208746224,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208746230,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208746773,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720025,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208746704,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208746403,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208746234,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208746407,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208746406,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719999,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719962,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720004,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720002,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720009,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720006,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720021,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720015,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720119,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720144,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720114,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720118,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739656,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739663,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739298,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208740010,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739967,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739935,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739931,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208740857,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208740839,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208740126,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208722358,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720176,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720171,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720170,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720166,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720149,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720044,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720046,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208720050,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739081,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739085,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739175,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739109,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739227,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739226,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739260,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739231,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739268,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208739265,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
